Chapter Name,Chapter Section,Section Walkthrough,Mission Tips and Strategy,Chapter Section Image
Seattle Day 1,Capitol Hill,"1. Check inside the houses for supplies. You will find a Short Weapon Holster.
2. Go upstairs through the apartments and cross over into the next area.
3. Moving forward, you will encounter more WLF members patrolling the streets.
4. After getting past the patrol, go to the gasoline station, and you will see aWorkbenchinside.
5. Continue heading down the street and go to the right side of the area, where you will encounter WLF and infected in the area.
6. Go inside the building with the second floor on it and head upstairs to get over to the next area.
7. Give Dina a boost to get over the wall.
8. Move forward to reach the Radio station.
9. Use the traps to bait the incoming infected that are swarming the area.
10. Enter the open gate and go down the river.
11. Follow the river and you will encounter Tommy's dead horse.
12. After the cutscene, continue moving forward to the forest.
13. Jump over the barricade then move forward. Squeeze through some tight spaces to avoid triggering the trip wire.
14. Get inside the building that has a WELLWISHES sign on it, and you will encounter a safe.
15. Go Prone to cross over the third truck that you will encounter.
16. Use bricks to trigger the tripwire, since there is no way around it anymore.
17. Go upstairs at the end of the street and trigger some of the tripwire again.
18. Move past the locked door and go over the broken metal wall.
19. Move around the locked door and go over the broken metal wall.","**More WLF members patrolling the streets.**
Since you are mostly on the outside, make use of your surroundings to hide from them. Getting involved in a gun fight will be hard for you, since these enemies call for backup and can have you surrounded in no time.

**Triggering the Trip Wire**
You can spot these Trip Wire on the ground, and they can be avoided easily. Alternatively, you can trigger them by throwing a Brick or Bottle to these traps.

**Thrift Shop Safe Code**
After you start to use bricks to destroy the trip mines, follow the street to the back, and on the left side of the street, you will see a thrift shop. The safe will be inside to the left.",https://img.game8.co/3254647/52978ef0fdc6b8ef05bb6ef70cb3a98a.jpeg/show
Seattle Day 1,Channel 13,"1. Jump over the truck to avoid the tripwire, then open the truck with the ""Feel Her Love"" sign to cross through.
2. Climb up the Radio station and you will see dead WLF bodies.
3. Use the rope to get inside the Radio station.
4. Continue moving forward and Dina will point at the air duct to cross through.
5. After crossing through, you will see more dead bodies hanging from the ceiling. Go upstairs and go through the narrow path to cross the other side of the building.
6. Open the door with a dead body blocking it. You can also pick up the Shotgun from a dead body.
7. Go upstairs, and at the right side of the area, you will find a open door.
8. Exit the Radio station. Before exiting the building, WLF members will come and clear the area.
9. Head downstairs and go to the left side of the building with the open windows on it.
10. Keep running while the WLF members are still pursuing you.
11. Head to the Level 1 of the parking and enter the door beside the gate.",No mission tips and strategy found,https://img.game8.co/3254648/6cdf3d812cda46a4b6d5434f1566d25f.jpeg/show
Seattle Day 1,The Tunnels,"1. Continue heading down and you will encounter a Spore-Infected Area.
2. Go prone to cross through the tight space and open the gate.
3. Head downstairs and squeeze through the tight space.
4. At the subway station, pit the Clickers against the WLF to cause a distraction.
5. Amidst the chaos, grab the chance to get past them, and get inside the train at the other end of the area.
6. Move forward and force open the train door with the help of Dina.
7. The path will be blocked. Go to the left side of the door and squeeze through to go outside the train.
8. Go Prone and get underneath the train to cross.
9. Enter the room with a red light on it.
10. Climb the ladder and use the rope to create a swing for you to cross the gap.
11. After crossing the gap, enter the blue door and cross through the vent.
12. While crossing through the vents, you will see WLF members battling a new type of infected.
13. Getting down from the vents. This area will contain 2 Shamblers and 2 Runners.
14. Head to the source of the red light and you will see a garage door then open it.
15. Continue moving forward, and you will encounter a locked door. Go around it and jump at the yellow barrier.
16. Entering the area, you will encounter 2 Shamblers and 2 runners.
17. Get inside the electrical area, then through the red doors with an Exit sign.
18. Exiting through the doors, get inside of the train via an open door, and continue heading outside.
19. After the cutscene, run as fast you can to escape the horde of infected.
20. Head to the theater.","**Pitting the Infected against the WLF**
While at the subway, you can use the infected to cause a distraction against the WLF members. You can clean up the remaining enemies or take advantage of the confusion to simply run away from them.

**Crossing the Gap**
Just like the other Rope challenges, you need to throw the rope above the pipe to use it as a swinging boost to cross the gap.

**New Type of Infected! Shamblers**
Shamblers are a new stage of infected that is introduced in this part. These guys run towards you and emit acid from their body.
How to Kill Shamblers

**Soda Can Code**
In the tunnels, there will be a narrow passage and some rooms on the right. In one of those room, there will be many vending machines. A note can be found on a table, which will give a hint to where the combination is.",https://img.game8.co/3254649/061d32bf864bbb773ecf0cc415038087.jpeg/show
Seattle Day 1,The Theater,"1. Look around the theater and find the generator, then turn it on.
2. Check out the radio to see if it works, then get the key from the table.
3. Use the key to open the doors on the ground floor.
4. Move towards the theater and onto the backstage, where a cutscene will trigger.
5. Play the Guitar.","**Play the Guitar**
After finding the Guitar at the backstage, Ellie will play it. If you're still having trouble with your picking, see the guide below!
How to Play Guitar",https://img.game8.co/3254650/d55c10d0d359b4427ed9fadb3833b95c.jpeg/show
Seattle Day 1,The Birthday Gift,"1. Follow Joel
2. Continue moving forward until you see the Dinosaur, then keep following Joel.
3. Explore the Museum.
4. After the cutscene, continue exploring then take a dive to reach the other bulding.
5. Give Ellie a boost to enter the other building.
6. Continue moving forward, and Ellie will notice the writing on the wall.
7. Squeeze through the tight space near the dead body.
8. After getting through, a cutscene will trigger.",No mission tips and strategy found,https://img.game8.co/3254651/ee0aa2c31b56ae56e79d30c4548fff16.jpeg/show
Seattle Day 2,Hillcrest,"1. Look for Dina in the Project room.
2. Head towards the gunshot to look for Tommy.
3. Get up on the truck and proceed to the next area.
4. Go inside the coffee shop, then cross over the fence.
5. Climb up the ladder, then go down the broken roof.
6. After going down, you will encounter the WLF Guard Dogs for the first time.
7. Move forward through the streets and through the shops, evading the Guard Dogs by moving around and causing distractions.
8. Reach the double red doors at the other end of the street, then get inside.
9. Go up the stairs and open the gate. Use the garbage can as a boost.
10. Use the garbage can to climb over the wall and get inside the other building.
11. Exit the building through the bike shop and onto the other street.
12. Head inside the Liquor store and you will pick up a Training Manual.
13. Get inside the Pet Boutique then cross through the bar and exit to the kitchens.
14. Go upstairs and you will hear a loud explosion.
15. Move towards the black smoke.
16. Jump over the wooden fence.
17. Get inside the house and head towards the kitchen, then squeeze through the broken door.
18. You will encounter a Stalker after going through the door.
19. Exit through the garage door.
20. You can practice your Bow with the mannequins. After practincing your bow, jump over the wooden fence.
21. Move through the garden of the houses, and continue moving downwards toward the black smoke.
22. After the cutscene, get the keys from the WLF members and get inside the car.
23. A quick-time scene with the car is going to happen.","**Encountering the Guard Dogs**
Scent Trails will become active when you first encounter the WLF Guard Dogs. You need to keep moving around and cause distractions to confuse these Guard Dogs. One way of causing distractions is by throwing objects, such as bottles.
Scent Trails Explained

**Using the Garbage can as a Boost**
This can be a bit tricky, but you can locate the Garbage Bin at the end of the area. It is located behind a gate, so you have to open it first.

**Practicing the Bow**
After getting the Bow from the fight with the infected in the garage, you can practice your archery ability by using these mannequins when you exit the garage doors. It's a good opportunity if you aren't super confident in your skill just yet.

**Repair Shop Safe Code**
There is a repair shop behind a barbershop, with a dumpster blocking the way. Move the dumpset, and fight the 4 runners inside to find the safe. The hint is located in the kitchen of a resterant across the street.",https://img.game8.co/3254652/b9dcd6e6f3ecdd6fb6b57d6401d9ab1e.jpeg/show
Seattle Day 2,Finding Strings,"1. Follow Tommy.
2. Shoot the Runners with Tommy's rifle.
3. Follow Tommy to the ski lodge.
4. Follow Joel to the horses
5. Follow Joel on horseback
6. Follow Joel and climb into the van.
7. Head back to the front door of the lodge.
8. Joel will lift up a collapsed roof for you to crawl through.
9. From the inside, go around to the front door to let Joel in.
10. Follow Joel and allow him to move the vending machine.
11. Follow Joel through the building.
12. Fight several Runners with Joel.
13. Another group of Runners and some Clickers will attack
14. After squeezing through a gap, fight a Bloater with Joel
15. Follow Joel to the next room to end this section.","**Fighting the Bloater**
The Bloater here will start by chasing Joel. Take this chance to land some good shots, because the bloater will start to ignore Joel and charge Ellie. You can use the dodge button to avoid damage. The Bloast can also throw acid like bombs, so avoid staying in one spot for long, and only stop to make a clean shot.
Us molotovs to stun the Bloater and cause fire damage. Take the chance to line up head shots with the bolt-action rifle. A Runner will charge you at some point during the fight. Make sure to finish it off quickly with a melee weapon, like a baseball bat. Avoid melee with the knife, as it will take too long, leaving you open to getting caught by the Bloater.",https://img.game8.co/3254653/abf7386c7807e934d131e105340f64ae.jpeg/show
Seattle Day 2,The Seraphites,"1. Follow Route 5 to track Nora.
2. Go through the metal door, then go above the wall.
3. Cross through the Quickmart, then head onto the street.
4. Continue moving towards Route 5.
5. Go to the left side of the street, where a gate will be blocking it. Use the red garbage can to jump over.
6. Get inside the garage and take the other garbage can outside.
7. Jump over the garbage can and head upstairs.
8. Upon seeing the St. Mary's hospital, continue moving forward and break one of the window to get inside the building.
9. Get down using the scaffholding.
10. Proceed to enter the door with theSuite 13031sign on it.
11. You will encounter Stalkers in this area. Proceed down the hallway, then jump over the barricaded doors.
12. Head to the other end of the area and smash the windows to get out.
13. At the edge of the building, head upstairs and jump through to cross to the other side.
14. Enter the broken window after jumping down.You will encounter Clickers and Stalkers in this area.
15. Go to the other end of the area and exit through the Yellow door.
16. Swim through the sewers and climb up the ladder.
17. Move upstairs and exit through the gate of the station.
18. Cut through the park to reach the Hospital.
19. While cutting through the park, you will encounter theSeraphitesin this area.
20. After cutting through the park, head inside the building with the fire in front of it.
21. Go upstairs and enter the master bedroom, then exit through the door.
22. Use the alleyway to continue moving towards the hospital.
23. You will encounter more Seraphites on this area. Go prone and use tall grass to sneak past through.
24. Get inside the abandoned carpark building then, head upstairs to cross through.
25. Move forward, then jump through the gap and enter the mall.
26. Get inside the cosmetics shop, then enter the red door. There will be a large man guarding the door.
27. Squeeze through the double doors, then head upstairs to get through the roof.
28. Continue moving through the roof, then go down the Ladder.
29. Swim through the flooded area to get to the hospital.
30. When you are near the hospital, dive undearneath, then squeeze through the tight space.
31. Approach the WLF member sitting in the area.
32. Head upstairs to findNora.
33. Get inside the main entrance of the Hospital.
34. After getting inside, continue moving until you reach the other end of the area, then enter the double doors.
35. Go upstairs, then go through the vents.
36. Exit the vents, then confront Nora in the room.
37. Chase after Nora.
38. After the cutscene, pit the Clicker against the WLF, then escape through the double doors.
39. Continue moving forward to chase Nora.","**Following Route 5**
The path to Route 5 is shown using Traffic Signs, making it a lot easier to travel and not get lost.

**Taking the Garbage Can outside**
Since this chain door cannot hold up and closes when you let go of it, the garbage can is rather hard to take it out. Use the ramp that can be found inside and put the garbage can there, then let physics do the work and open the chain doors.

**Encountering Stalkers**
Stalkers are the second stage of infection. They are quiet and hide from their prey, waiting for a perfect time to attack. You can flush them out from hiding by using a Bottle or Brick as a distraction.

**Dealing with Seraphites**
These faction members use Bows and communicate to each other using whistles. When dealing with this group, it is recommended to go prone and use the tall grass as cover to hide from them.

**Dealing with the Big Guy with a Sledgehammer**
After getting inside the Cosmetics shop, you will encounter a big man guarding the red door. You can use aStun Bomband hide from his sight to avoid wasting ammo.

**Pitting the Infected against the WLF**
During this event, you can always use the infected and cause a distraction against the WLF members. Take advantage of the confusion, then go straight to the door to escape from them.

**Apartment Safe Code**
There is an apartment building on the left once the road comes to an end. The front door will be locked, so you will need to enter through the 2nd floor. You can climb a white truck to get in. The safe is in the bedroom closet.

**Pharmacy Safe Code**
After fighting the seraphites and just before swimming to the hospital, there is a pharmacy to the left, next to the water. There is a safe hidden in the back. To get to the safe, you will need to go prone through a hole in the wall next to the counter. The code is on a shelf behind the counter.",https://img.game8.co/3254654/24601b03fb2ae17543feffab57132ac3.jpeg/show
Seattle Day 2,St. Mary's Hospital,"1. Investigate the hospital. Check every room for clues.
2. Head towards the Operating room.
3. Inside the Operating room, search the Firefly bag.",No mission tips and strategy found,https://img.game8.co/3254655/869fc24835e905ebb46fbf0c41e514c6.jpeg/show
Seattle Day 3,Road to the Aquarium,"1. Look for Dina and Jesse.
2. Give Jesse a boost to reach the top.
3. Move forward to find the Aquarium.
4. Cut through the Convention center, then head inside the blue door.
5. Continue forward and you will see another blue double door.
6. Move the pedestal blocking the path, then squeeze through.
7. This area is going to be filled with WLF members. You can sneak past them or engage in combat.
8. Go inside the Seattle Conference Center, then jump over the blue van.
9. Use Prone to cross the broken tree, then jump over the truck.
10. Swim through the flooded area, then dive undearneath to blockade.
11. Head to the right side and have Jesse boost you up to enter the bookstore.
12. Go down the bookstore, then up again on the other side of the area to cross the gate.
13. Back on the streets, you will enocunter more WLF members patrolling the area.
14. Dive underneath the flooded area with the Bus blocking on it.
15. Move up to the very top of the building to cross.
16. Get down from the building to locate the crew.
17. Remove the giant steel blocking the door.
18. Swim through the flooded area of the building.
19. Use the rope to climb up above.
20. Steal the boat from the WLF.","**Stealing the Boat**
Since the area where you have to steal the Boat is going to be flooded, it is best to use your surroundings against the enemies here. Dive underneath the area to eliminate them one by one.
If the WLF members spot you, always run back to the water to easily hide from their sight.",https://img.game8.co/3254656/54b995e597a11f21a7f882555dea2699.jpeg/show
Seattle Day 3,The Flooded City,"1. After stealing the boat, drive it out of the building.
2. Go inside the building and follow the river current.
3. Open the gate to continue riding the current.
4. You will encounter another safe in this area. The code is 70-12-64
5. Continue riding the current, and you will encounter a fight between the WLF and the Seraphites.
6. Drive through the abandoned building.
7. Open the gate of the arcade building.
8. Head to the 2nd floor of the building, then push the trolley to jump over the double doors.
9. After falling down, you will encounter a Bloater.
10. Open the roll-up door at the prize zone, then move upstairs.
11. Remove the huge steel blocking the chain doors.
12. Go down to the gate again and open it. Continue riding the river until your reach the Ferris Wheel.
13. Swim through the river to reach the land.","**Driving through the Abandoned Building**
The Abandoned Building will have 5 Seraphites guarding it. Clear out the building first before proceeding to avoid suffering unnecessary damage from them.
Use your surroundings to silently kill them off one by one, since it will be a big building with a lot of hiding places. This will be much better than rushing in guns blazing.

**Encountering the Bloater**
After falling from the floor, a cutscene will trigger showing a Bloater. Using Molotovs and Trip Mines is recommended to fight this creature.
When using the Trip Mine, you have to plant it first, then let the Bloater charge at you and step on it. The Molotov can just be thrown at it, allowing you to then finish this creature off with a Shotgun.

**First Gate Safe Code**
Found when encountering the first gate at the river. Get off your boat then head upstairs to the second floor and remove the trolley removing block the path. Go prone, then move forward until you drop and reach the Safe.",https://img.game8.co/3254657/5c59259d761c7459c13e206ae248b6f5.jpeg/show
Seattle Day 3,Infiltration,"1. Go to the broken fenced gate on the left side of the area. Go Prone to enter the gate.
2. Climb over the machine, then enter through the broken window.
3. Move forward to the other end of the area, then squeeze through the broken wall.
4. Continue your way inside the building, then climb up the ladder.
5. Drop down, then go inside the Animal Quarantine room.
6. Inside the Animal Quarantine room, climb up the machine and into the vents.
7. After falling from the vents, you will be attacked by a dog.
8. Head to the open room.
9. Go to the open door at the right side and move towards the double door with a ""Crab"" drawing on it.
10. Defend yourself from Mel.
11. Find Tommy and Jesse.",No mission tips and strategy found,https://img.game8.co/3254658/ea7ff9cd3d6c714ca7a98f1fcf9af235.jpeg/show
The Park,Tracking Lesson,"1. Move through the forest to find Dad.
2. Crouch to enter the bathroom
3. Use bottle to break the window, then climb through it.
4. You will see a garbage can. Move it over to the wall to climb up.
5. Jump over the roof to get inside the park.
6. Follow Jerry
7. Go near the flesh that is lying on the ground for clues
8. Jerry will take point on hunting the animal. Follow him.
9. Go to the Operating Room.",No mission tips and strategy found,https://img.game8.co/3254659/d250264462cddcc4720d53ef5a252772.jpeg/show
Seattle Day 1,The Stadium,"1. Follow Manny
2. Get some food in the cafeteria.
3. After getting the food, head to your room and pick up your items.
4. Proceed to following Mel and Manny to get Alice.
5. Go to the Weapons room to acquire Guns.
6. Get on the Truck to go outside.
7. Defend yourself from the Seraphites' ambush.",No mission tips and strategy found,https://img.game8.co/3254660/c28a50ecd8317620f0ab9b8c0cbe91f5.jpeg/show
Seattle Day 1,On Foot,"1. Explore the building to clear it.
2. Clear the area consisting of 3 Runners.
3. Head to the end of the area, then climb over the pile of wood.
4. After falling from the top, fight off the infected swarming the area.
5. Go to the door being blocked by a pedestal, and force it open it with the help of Manny.
6. Climb over the truck to proceed the next area.
7. Move towards the Boat Repair building, then give Manny a boost to climb up.
8. After Manny loosens up the rope, climb on it.
9. Use the rope again, then bring it down to the broken roof to climb down.
10. Remove the object blocking the door to let Mel inside.
11. Inside the boat repair room, open the large gate.
12. When the crank breaks, find another way out.
13. Give Mel a boost to open the locked door.
14. Use the ladder to cross through the boat.
15. Grab the ladder again, then place it on the other side of the boat.
16. Throw the rope over the catwalk.
17. Cross through the ladder and use the rope to climb up the catwalk.
18. Go up the ladder to exit through the roof, then head to another ladder to go down.
19. Cut through the railyard to reach the FOB.
20. While cutting through the railyard, you will encounter more Seraphites.
21. After reaching a dead end, go up on the train, then enter the wooden fence.
22. Force open the huge gate, then squeeze through it.
23. Defend yourself from the Seraphites until backup arrives.
24. Get on the truck.","**Fighting off the Infected**
Right after falling off, a swarm of infected will come right at you. The swarm consists ofRunnersand oneShambler, and you will have no choice but to fight them.
Let Manny cover you using his rifle, and Alice will fight off some of the infected. Use Pipe Bombs to deal damage to the Shambler, and then use the Semi-Auto Rifle to finish him off.

**Throwing the Rope**
After placing the ladder on the other end of the boat, you will also need to use the rope. It is located on the top of the boat.
Throw it over the catwalk and climb on it to reach the ladder.

**Railyard Battle**
The Railyard will be filled with Seraphites. Use your surroundings to find cover. You can sneak past them, or eliminate them one by one.

**Defending your Ground**
Fall back to the building, then take cover from the Seraphites that are attacking you.
You need to hold out for a few minutes until help arrives.",https://img.game8.co/3254661/2aefa3409285b01756f8a2613e91da44.jpeg/show
Seattle Day 1,The Forward Base,"1. Check inside the base.
2. Look around to search for Isaac.
3. Head to the hospital tent to check for Mel.
4. Follow Nora.
5. Get inside the building.
6. Talk to the man sitting in front of the elevator.","**Looking Around the Base**
There is a lot of Ammo and Scavenged parts that can be picked up around here. Be sure to be thorough in checking every corner of the base.",https://img.game8.co/3254662/2093dda1f1b2250a33d58f7aac95c781.jpeg/show
Seattle Day 1,The Aquarium,"1. Jump into the waters.
2. Follow Owen.
3. Head upstairs, then open the door with the help of Owen.
4. Keep following Owen to the yacht.
5. Go through the double doors and have Owen boost you up.
6. Continue exploring the fish zoo.
7. Move upstairs, then enter the Singularity Bay Cafe.
8. Get down and proceed to the locked door with theMax's Placesign on it.
9. Climb down the stairs from the open elevator door.",No mission tips and strategy found,https://img.game8.co/3254663/de534322059298f4002a062c54ef55b8.jpeg/show
