Collectible Name,Collectible Type,Which chapter it can be found,Collectible location
Bookstore Note,Artifact,Seattle Day 3 - Road to the Aquarium,This artifact is on the table by the children's section of the Kingston Bookstore.
Fungi,Journal Entry,Seattle Day 3 - Road to the Aquarium,This journal entry can be gained by examining the left giant mushroom at the children's section of the Kingston Bookstore.
Esquire,Trading Card,Seattle Day 3 - Road to the Aquarium,This trading card is on the equipment to your left before you open the red curtain.
Tormentra,Trading Card,Seattle Day 3 - Road to the Aquarium,This trading card is on the desk in the room where you need to crawl under file cabinets to enter at the WPL Building.
Tanager,Trading Card,Seattle Day 3 - Road to the Aquarium,This trading card is under the large debris on the ground floor near the fence of the Kingston Bookstore.
Tatuaje,Trading Card,Seattle Day 3 - Road to the Aquarium,This trading card is on a shelf near the broken pipes you need to move to progress the story.
Owen's Drawing of Abby,Artifact,The Park - Tracking Lesson,This artifact is automatically in your inventory when you start the chapter.
Thank You Card from Mel,Artifact,The Park - Tracking Lesson,This artifact is automatically in your inventory when you start the chapter.
Zoo Holiday Brouchure,Artifact,The Park - Tracking Lesson,This artifact is on the bench at the Gazebo after you go through the park.
Virgina,Coin,The Park - Tracking Lessons,This coin is on the side of the dumpster to your right after you vault through the window from the restroom.
WLF Gun Cache Note,Artifact,Seattle Day 1 - On Foot,This artifact is on a small file cabinet inside the nearby trailer after you climb down the ladder from the roof of the warehouse.You can get into the trailer by smashing the back window and climbing through it.
Alaska,Coin,Seattle Day 1  - The Stadium,This coin is on the floor to your left as soon as you exit the room going to the stadium after getting your backpack.
Maine,Coin,Seattle Day 1  - The Stadium,This coin is on the bench to your left past the second set of stairs at the laundry section of the stadium.
New Jersey,Coin,Seattle Day 1  - The Stadium,This coin is under the wolf painting to your right when you reach the tunnel going to the Armory.
Vermont,Coin,Seattle Day 1  - The Stadium,This coin is in a cabinet at the left corner of the next room past the Gun Range.
Amputation Supplies,Artifact,Seattle Day 2 - The Shortcut,This artifact is automatically in your inventory when you start the chapter.
Survivor Plea,Artifact,Seattle Day 2 - The Shortcut,This artifact is on the floor beside a broken door when you reach the top floor of the first building you encounter.
Neighbor Exchange,Artifact,Seattle Day 2 - The Shortcut,This artifact is on the table with a whiteboard in the apartment you arrive in after jumping from the bridge.
Scavenging List,Artifact,Seattle Day 2 - The Shortcut,This artifact is beside a corpse at the counter of the Interbay building.
Seraphite Truce,Artifact,Seattle Day 2 - The Shortcut,This artifact is on the desk inside the room to your left when Lev jumps across multiple rusted beams.
Seraphite Orders,Artifact,Seattle Day 2 - The Shortcut,This artifact is on the wall beside the doorway in the room after you ride the elevator.
Nevada,Coin,Seattle Day 2 - The Shortcut,This coin is at the counter of Fanklin's Barber Shop just before you climb the rapids.
Colorado,Coin,Seattle Day 2 - The Shortcut,This coin is at the end of the path when you exit the window to your right at the next building after Interbay.
Marina Note,Artifact,Seattle Day 3 - The Marina,This artifact is behind the counter of the Big Fat Crab Shack before you climb up the ladder at the Marina Pier.
Kansas,Coin,Seattle Day 3 - The Marina,This coin is behind the railing to your right at the start of the chapter.
Louisiana,Coin,Seattle Day 3 - The Marina,This coin is on the ground to your right behind the waiting area of the tram station.
Father's Note,Artifact,Santa Barbara - 2425 Constance,This artifact is on the toilet in the restroom of house 2418.
Santa Barbara,Journal Entry,Santa Barbara - Pushing Inland,This journal entry can be gained by looking at the the view of Santa Barbara beside a police car.You will need to pressL3toLook Atthe view to get this journal entry.
CBB-73,Trading Card,Santa Barbara - Pushing Inland,This trading card is on a table inside the bedroom after you enter a house from the roof.
